No,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Ticket,구매지역,lastname,family#
463,1,1,"Burns, Miss. Elizabeth Margaret",female,41,0,0,16966,134.5,E40,C,16966,,Burns,0
640,1,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41,0,1,250644,19.5,,S,250644,,Mellinger,1
209,0,3,"Hansen, Mr. Claus Peter",male,41,2,0,350026,14.1083,,S,350026,,Hansen,2
215,0,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41,0,2,370129,20.2125,,S,370129,,Rosblom,2
88,0,3,"Panula, Mrs. Juha (Maria Emilia Ojala)",female,41,0,5,3101295,39.6875,,S,3101295,,Panula,5
293,0,3,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851,14.5,,S,851,,van Billiard,2
2,0,3,"Farrell, Mr. James",male,40.5,0,N,367232,7.75,,Q,367232,,Farrell,0
61,0,3,"Badt, Mr. Mohamed",male,40,0,0,2623,7.225,,C,2623,,Badt,0
420,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40,1,0,7546,9.475,,S,7546,,Ahlin,1
473,1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40,1,1,16966,134.5,E34,C,16966,,Spedden,2
516,1,1,"Shutes, Miss. Elizabeth W",female,40,0,0,PC 17582,153.4625,C125,S,17582,,Shutes,0
382,0,1,"Uruchurtu, Don. Manuel E",male,40,0,0,PC 17601,27.7208,,C,17601,,Uruchurtu,0
660,1,2,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",female,40,1,1,29750,39,,S,29750,,Brown,2
485,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40,0,0,C.A. 33595,15.75,,S,33595,,Watt,0
195,0,1,"Harrison, Mr. William",male,40,0,0,112059,0,B94,S,112059,,Harrison,0
334,0,3,"Skoog, Mr. Wilhelm",male,40,1,4,347088,27.9,,S,347088,,Skoog,5
393,0,3,"Sivic, Mr. Husein",male,40,0,0,349251,7.8958,,S,349251,,Sivic,0
348,0,3,"Bourke, Mr. John",male,40,1,1,364849,15.5,,Q,364849,,Bourke,2
590,1,1,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",female,39,1,1,17421,110.8833,C68,C,17421,,Thayer,2
672,1,1,"Compton, Miss. Sara Rebecca",female,39,1,1,PC 17756,83.1583,E49,C,17756,,Compton,2
244,0,2,"Otter, Mr. Richard",male,39,0,0,28213,13,,S,28213,,Otter,0
60,0,3,"Lester, Mr. James",male,39,0,0,A/4 48871,24.15,,S,48871,,Lester,0
271,0,1,"Andrews, Mr. Thomas Jr",male,39,0,0,112050,0,A36,S,112050,,Andrews,0
27,0,2,"Meyer, Mr. August",male,39,0,0,248723,13,,S,248723,,Meyer,0
434,0,2,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",male,39,0,0,250655,26,,S,250655,,Morley,0
147,0,3,"Andersson, Mr. Anders Johan",male,39,1,5,347082,31.275,,S,347082,,Andersson,6
75,0,3,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",female,39,1,5,347082,31.275,,S,347082,,Andersson,6
358,0,3,"Rice, Mrs. William (Margaret Norton)",female,39,0,5,382652,29.125,,Q,382652,,Rice,5
460,1,3,"Niskanen, Mr. Juha",male,39,0,0,STON/O 2. 3101289,7.925,,S,3101289,,Niskanen,0
150,0,1,"Graham, Mr. George Edward",male,38,0,1,PC 17582,153.4625,C91,S,17582,,Graham,1
470,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,0,PC 17599,71.2833,C85,C,17599,,Cumings,1
441,1,1,"Endres, Miss. Caroline Louise",female,38,0,0,PC 17757,227.525,C45,C,17757,,Endres,0
644,1,1,"Hoyt, Mr. Frederick Maxfield",male,38,1,0,19943,90,C93,S,19943,,Hoyt,1
210,0,1,"Reuchlin, Jonkheer. John George",male,38,0,0,19972,0,,S,19972,,Reuchlin,0
695,1,1,"Icard, Miss. Amelie",female,38,0,0,113572,80,B28,,113572,,Icard,0
390,0,2,"Funk, Miss. Annie Clemmer",female,38,0,0,237671,13,,S,237671,,Funk,0
459,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,1,5,347077,31.3875,,S,347077,,Asplund,6
227,0,3,"Rekic, Mr. Tido",male,38,0,0,349249,7.8958,,S,349249,,Rekic,0
104,0,3,"Goncalves, Mr. Manuel Estanslas",male,38,0,0,SOTON/O.Q. 3101306,7.05,,S,3101306,,Goncalves,0
87,0,3,"Laitinen, Miss. Kristina Sofia",female,37,0,0,4135,9.5875,,S,4135,,Laitinen,0
288,0,1,"Natsch, Mr. Charles H",male,37,0,1,PC 17596,29.7,C118,C,17596,,Natsch,1
363,0,2,"Chapman, Mr. John Henry",male,37,1,0,SC/AH 29037,26,,S,29037,,Chapman,1
46,0,1,"Futrelle, Mr. Jacques Heath",male,37,1,0,113803,53.1,C123,S,113803,,Futrelle,1
269,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37,2,0,3101276,7.925,,S,3101276,,Gustafsson,2
111,0,2,"Levy, Mr. Rene Jacques",male,36,0,0,SC/Paris 2163,12.875,D,C,2163,,Levy,0
681,1,1,"Crosby, Miss. Harriet R",female,36,0,2,WE/P 5735,71,B22,S,5735,,Crosby,2
355,0,1,"Ross, Mr. John Hugo",male,36,0,0,13049,40.125,A10,C,13049,,Ross,0
467,1,1,"McGough, Mr. James Robert",male,36,0,0,PC 17473,26.2875,E25,S,17473,,McGough,0
613,1,1,"Flynn, Mr. John Irwin (""Irving"")",male,36,0,0,PC 17474,26.3875,E25,S,17474,,Flynn,0
533,1,1,"Cardeza, Mr. Thomas Drake Martinez",male,36,0,1,PC 17755,512.3292,B51 B53 B55,C,17755,,Cardeza,1
13,0,1,"Cavendish, Mr. Tyrell William",male,36,1,0,19877,78.85,C46,S,19877,,Cavendish,1
569,1,2,"Buss, Miss. Kate",female,36,0,0,27849,13,,S,27849,,Buss,0
619,1,2,"Ball, Mrs. (Ada E Hall)",female,36,0,0,28551,13,D,S,28551,,Ball,0
93,0,2,"West, Mr. Edwy Arthur",male,36,1,2,C.A. 34651,27.75,,S,34651,,West,3
577,1,1,"Carter, Mr. William Ernest",male,36,1,2,113760,120,B96 B98,S,113760,,Carter,3
561,1,1,"Carter, Mrs. William Ernest (Lucile Polk)",female,36,1,2,113760,120,B96 B98,S,113760,,Carter,3
250,0,2,"Fox, Mr. Stanley Hubert",male,36,0,0,229236,13,,S,229236,,Fox,0
571,1,3,"de Messemaeker, Mrs. Guillaume Joseph (Emma)",female,36,1,0,345572,17.4,,S,345572,,de Messemaeker,1
170,0,3,"Van Impe, Mr. Jean Baptiste",male,36,1,1,345773,24.15,,S,345773,,Van Impe,2
206,0,3,"Coleff, Mr. Peju",male,36,0,0,349210,7.4958,,S,349210,,Coleff,0
243,0,3,"Lindell, Mr. Edvard Bengtsson",male,36,1,0,349910,15.55,,S,349910,,Lindell,1
166,0,3,"Leonard, Mr. Lionel",male,36,0,0,LINE,0,,S,LINE,,Leonard,0
583,1,3,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35,1,1,C.A. 2673,20.25,,S,2673,,Abbott,2
566,1,2,"Cameron, Miss. Clear Annie",female,35,0,0,F.C.C. 13528,21,,S,13528,,Cameron,0
544,1,1,"Lesurer, Mr. Gustave J",male,35,0,0,PC 17755,512.3292,B101,C,17755,,Lesurer,0
447,1,1,"Bissette, Miss. Amelia",female,35,0,0,PC 17760,135.6333,C99,S,17760,,Bissette,0
673,1,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",female,35,1,0,19943,90,C93,S,19943,,Hoyt,1
491,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35,1,0,36973,83.475,C83,S,36973,,Harris,1
475,1,1,"Homer, Mr. Harry (""Mr E Haven"")",male,35,0,0,111426,26.55,,C,111426,,Homer,0
515,1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35,1,0,113789,52,,S,113789,,Holverson,1
599,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,0,113803,53.1,C123,S,113803,,Futrelle,1
149,0,2,"Fynney, Mr. Joseph J",male,35,0,0,239865,26,,S,239865,,Fynney,0
35,0,3,"Markoff, Mr. Marin",male,35,0,0,349213,7.8958,,C,349213,,Markoff,0
225,0,3,"Brocklebank, Mr. William Alfred",male,35,0,0,364512,8.05,,S,364512,,Brocklebank,0
139,0,3,"Rintamaki, Mr. Matti",male,35,0,0,STON/O 2. 3101273,7.125,,S,3101273,,Rintamaki,0
197,0,3,"Asim, Mr. Adola",male,35,0,0,SOTON/O.Q. 3101310,7.05,,S,3101310,,Asim,0
423,0,3,"Lemberopolous, Mr. Peter L",male,34.5,0,0,2683,6.4375,,C,2683,,Lemberopolous,0
207,0,2,"Gillespie, Mr. William Henry",male,34,0,0,12233,13,,S,12233,,Gillespie,0
683,1,2,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",female,34,1,1,28220,32.5,,S,28220,,Drew,2
79,0,2,"Renouf, Mr. Peter Henry",male,34,1,0,31027,21,,S,31027,,Renouf,1
667,1,2,"Lemore, Mrs. (Amelia Milley)",female,34,0,0,C.A. 34260,10.5,F33,S,34260,,Lemore,0
549,1,1,"Seward, Mr. Frederic Kimber",male,34,0,0,113794,26.55,,S,113794,,Seward,0
665,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34,0,1,231919,23,,S,231919,,Doling,1
674,1,2,"Garside, Miss. Ethel",female,34,0,0,243880,13,,S,243880,,Garside,0
117,0,2,"Kantor, Mr. Sinai",male,34,1,0,244367,26,,S,244367,,Kantor,1
543,1,2,"Beesley, Mr. Lawrence",male,34,0,0,248698,13,D56,S,248698,,Beesley,0
157,0,2,"Ponesell, Mr. Martin",male,34,0,0,250647,13,,S,250647,,Ponesell,0
372,0,3,"Theobald, Mr. Thomas Leonard",male,34,0,0,363294,8.05,,S,363294,,Theobald,0
94,0,3,"Morley, Mr. William",male,34,0,0,364506,8.05,,S,364506,,Morley,0
165,0,3,"Johanson, Mr. Jakob Alfred",male,34,0,0,3101264,6.4958,,S,3101264,,Johanson,0
282,0,1,"Carlsson, Mr. Frans Olof",male,33,0,0,695,5,B51 B53 B55,S,695,,Carlsson,0
25,0,2,"Hunt, Mr. George Henry",male,33,0,0,SCO/W 1585,12.275,,S,1585,,Hunt,0
234,0,3,"Johansson, Mr. Gustaf Joel",male,33,0,0,7540,8.6542,,S,7540,,Johansson,0
620,1,1,"Minahan, Miss. Daisy E",female,33,1,0,19928,90,C78,Q,19928,,Minahan,1
637,1,2,"Quick, Mrs. Frederick Charles (Jane Richards)",female,33,0,2,26360,26,,S,26360,,Quick,2
624,1,2,"West, Mrs. Edwy Arthur (Ada Mary Worth)",female,33,1,2,C.A. 34651,27.75,,S,34651,,West,3
478,1,1,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",female,33,0,0,110152,86.5,B77,S,110152,,Rothes,0
563,1,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,33,1,0,113806,53.1,E8,S,113806,,Chambers,1
151,0,3,"Vande Velde, Mr. Johannes Joseph",male,33,0,0,345780,9.5,,S,345780,,Vande Velde,0
321,0,3,"Stankovic, Mr. Ivan",male,33,0,0,349239,8.6625,,C,349239,,Stankovic,0
70,0,3,"Drazenoic, Mr. Jozef",male,33,0,0,349241,7.8958,,C,349241,,Drazenoic,0
300,0,3,"Markun, Mr. Johann",male,33,0,0,349257,7.8958,,S,349257,,Markun,0
378,0,3,"Goldsmith, Mr. Frank John",male,33,1,1,363291,20.525,,S,363291,,Goldsmith,2
596,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33,3,0,3101278,15.85,,S,3101278,,Backstrom,3
698,1,2,"Webber, Miss. Susan",female,32.5,0,0,27267,13,E101,S,27267,,Webber,0
700,1,2,"Beane, Mr. Edward",male,32,1,0,2908,26,,S,2908,,Beane,1
185,0,3,"Gronnestad, Mr. Daniel Danielsen",male,32,0,0,8471,8.3625,,S,8471,,Gronnestad,0
495,1,1,"Bazzani, Miss. Albina",female,32,0,0,11813,76.2917,D15,C,11813,,Bazzani,0
453,1,1,"Stahelin-Maeglin, Dr. Max",male,32,0,0,13214,30.5,B50,C,13214,,Stahelin-Maeglin,0
90,0,2,"Hickman, Mr. Lewis",male,32,2,0,S.O.C. 14879,73.5,,S,14879,,Hickman,2
4,0,2,"Jenkin, Mr. Stephen Curnow",male,32,0,N,C.A. 33111,10.5,,S,33111,,Jenkin,0
492,1,2,"Pinsky, Mrs. (Rosa)",female,32,0,0,234604,13,,S,234604,,Pinsky,0
249,0,3,"Pavlovic, Mr. Stefo",male,32,0,0,349242,7.8958,,S,349242,,Pavlovic,0
528,1,3,"Jonsson, Mr. Carl",male,32,0,0,350417,7.8542,,S,350417,,Jonsson,0
156,0,3,"Bourke, Mrs. John (Catherine)",female,32,1,1,364849,15.5,,Q,364849,,Bourke,2
154,0,3,"Dooley, Mr. Patrick",male,32,0,0,370376,7.75,,Q,370376,,Dooley,0
457,1,3,"Pickard, Mr. Berk (Berk Trembisky)",male,32,0,0,SOTON/O.Q. 392078,8.05,E10,S,392078,,Pickard,0
567,1,3,"Jussila, Mr. Eiriik",male,32,0,0,STON/O 2. 3101286,7.925,,S,3101286,,Jussila,0
118,0,3,"Tikkanen, Mr. Juho",male,32,0,0,STON/O 2. 3101293,7.925,,S,3101293,,Tikkanen,0
312,0,2,"Mallet, Mr. Albert",male,31,1,1,S.C./PARIS 2079,37.0042,,C,2079,,Mallet,2
428,0,1,"Davidson, Mr. Thornton",male,31,1,0,F.C. 12750,52,B71,S,12750,,Davidson,1
608,1,1,"Dick, Mr. Albert Adrian",male,31,1,0,17474,57,B20,S,17474,,Dick,1
309,0,1,"Roebling, Mr. Washington Augustus II",male,31,0,0,PC 17590,50.4958,A24,S,17590,,Roebling,0
80,0,2,"Kvillner, Mr. Johan Henrik Johannesson",male,31,0,0,C.A. 18723,10.5,,S,18723,,Kvillner,0
270,0,2,"Collyer, Mr. Harvey",male,31,1,1,C.A. 31921,26.25,,S,31921,,Collyer,2
452,1,2,"Collyer, Mrs. Harvey (Charlotte Annie Tate)",female,31,1,1,C.A. 31921,26.25,,S,31921,,Collyer,2
502,1,1,"Newell, Miss. Madeleine",female,31,1,0,35273,113.275,D36,C,35273,,Newell,1
527,1,1,"Wick, Miss. Mary Natalie",female,31,0,2,36928,164.8667,C7,S,36928,,Wick,2
290,0,3,"Connaghton, Mr. Michael",male,31,0,0,335097,7.75,,Q,335097,,Connaghton,0
181,0,3,"Johansson, Mr. Karl Johan",male,31,0,0,347063,7.775,,S,347063,,Johansson,0
687,1,3,"Osman, Mrs. Mara",female,31,0,0,349244,8.6833,,S,349244,,Osman,0
174,0,3,"Olsson, Miss. Elina",female,31,0,0,350407,7.8542,,S,350407,,Olsson,0
632,1,3,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,31,1,1,363291,20.525,,S,363291,,Goldsmith,2
